emotion,precision,recall,f1,support
anger,0.5053191489361702,0.30944625407166126,0.3838383838383838,307
disgust,0.3,0.14285714285714285,0.1935483870967742,63
fear,0.11538461538461539,0.06818181818181818,0.08571428571428572,44
joy,0.491183879093199,0.5446927374301676,0.5165562913907285,358
neutral,0.6976744186046512,0.8333333333333334,0.759493670886076,1116
sadness,0.44776119402985076,0.16042780748663102,0.23622047244094488,187
surprise,0.5296167247386759,0.6007905138339921,0.562962962962963,253
