emotion,precision,recall,f1,support
anger,0.5052083333333334,0.31596091205211724,0.38877755511022044,307
disgust,0.3684210526315789,0.1111111111111111,0.17073170731707318,63
fear,0.15625,0.11363636363636363,0.13157894736842105,44
joy,0.5160493827160494,0.5837988826815642,0.5478374836173001,358
neutral,0.7340255591054313,0.8234767025089605,0.7761824324324325,1116
sadness,0.42696629213483145,0.20320855614973263,0.2753623188405797,187
surprise,0.49262536873156343,0.6600790513833992,0.5641891891891891,253
